 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  61   -35.00     -79.747 0.3778   0.7008E-01  0.8015E-03  0.3169E-01  0.7891E-03  -1   0     17.9042  0.023958  0.1049E-02
  60   -36.00     -78.329 0.3789   0.7248E-01  0.8143E-03  0.2777E-01  0.4714E-03  -1   0     17.8252  0.024186  0.8779E-03
  59   -37.00     -76.925 0.4117   0.5513E-01  0.6257E-03  0.2413E-01  0.1525E-03  -1   0     17.7505  0.024531  0.7175E-03
  58   -38.00     -75.523 0.4125   0.5679E-01  0.6348E-03  0.2085E-01  0.0000E+00  -1   0     17.6801  0.025203  0.6082E-03
  57   -39.00     -74.189 0.4132   0.5836E-01  0.6434E-03  0.1736E-01  0.0000E+00  -1   0     17.6127  0.025877  0.5447E-03
  56   -40.00     -72.929 0.4141   0.6100E-01  0.6545E-03  0.1362E-01  0.0000E+00  -1   0     17.5483  0.026536  0.4880E-03
  55   -41.00     -71.742 0.4150   0.6380E-01  0.6657E-03  0.9856E-02  0.0000E+00  -1   0     17.4867  0.027163  0.4373E-03
  54   -42.00     -70.619 0.4158   0.6644E-01  0.6764E-03  0.6225E-02  0.0000E+00  -1   0     17.4279  0.027743  0.3920E-03
  53   -43.00     -69.553 0.4165   0.6895E-01  0.6865E-03  0.2715E-02  0.0000E+00  -1   0     17.3717  0.028266  0.3515E-03
  52   -44.00     -68.539 0.4172   0.7134E-01  0.6961E-03 -0.6844E-03  0.0000E+00  -1   0     17.3180  0.028722  0.3152E-03
  51   -45.00     -67.571 0.4179   0.7362E-01  0.7052E-03 -0.3980E-02  0.0000E+00  -1   0     17.2666  0.029106  0.2827E-03
  50   -46.00     -66.646 0.4186   0.7580E-01  0.7140E-03 -0.7180E-02  0.0000E+00  -1   0     17.2174  0.029415  0.2536E-03
  49   -47.00     -65.760 0.4192   0.7789E-01  0.7224E-03 -0.1029E-01  0.0000E+00  -1   0     17.1702  0.029649  0.2276E-03
  48   -48.00     -64.910 0.4198   0.7989E-01  0.7305E-03 -0.1331E-01  0.0000E+00  -1   0     17.1249  0.029808  0.2042E-03
