
       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cTop       cRoot       cBot      vProd    Sum(vProd) Sum(Sink)  TLevel
        [T]     [L3/L2/T]  [L3/L2/T]   [L3/L2]    [L3/L2]   [L3/L3]     [L3/L3]    [L3/L3]   [L3/L2/T]    [L3/L2]   [L3/L2]

      70.41695  0.170E+00 -0.676E-03  0.212E+01 -0.661E-02  0.330E-03  0.145E-01  0.179E-01  0.213E+00  0.199E+01  0.230E-02     135
      70.51412  0.194E+00 -0.669E-03  0.214E+01 -0.667E-02  0.330E-03  0.147E-01  0.179E-01  0.231E+00  0.201E+01  0.245E-02     136
      70.63559  0.219E+00 -0.663E-03  0.217E+01 -0.675E-02  0.330E-03  0.149E-01  0.179E-01  0.253E+00  0.204E+01  0.264E-02     137
      70.81780  0.238E+00 -0.668E-03  0.221E+01 -0.688E-02  0.330E-03  0.151E-01  0.179E-01  0.260E+00  0.209E+01  0.290E-02     138
      71.00000  0.234E+00 -0.672E-03  0.225E+01 -0.700E-02  0.330E-03  0.152E-01  0.179E-01  0.228E+00  0.213E+01  0.316E-02     139
      71.02000  0.175E+00 -0.527E-03  0.226E+01 -0.701E-02  0.330E-03  0.147E-01  0.179E-01  0.189E+00  0.213E+01  0.319E-02     140
      71.04000  0.152E+00 -0.606E-03  0.226E+01 -0.702E-02  0.330E-03  0.137E-01  0.179E-01  0.189E+00  0.214E+01  0.322E-02     141
      71.06000  0.144E+00 -0.731E-04  0.226E+01 -0.702E-02  0.330E-03  0.136E-01  0.179E-01  0.188E+00  0.214E+01  0.325E-02     142
      71.08600  0.135E+00  0.303E-03  0.226E+01 -0.701E-02  0.330E-03  0.135E-01  0.179E-01  0.187E+00  0.215E+01  0.329E-02     143
      71.11980  0.129E+00  0.173E-03  0.227E+01 -0.701E-02  0.330E-03  0.134E-01  0.179E-01  0.186E+00  0.215E+01  0.335E-02     144
      71.16374  0.122E+00 -0.964E-04  0.227E+01 -0.701E-02  0.330E-03  0.134E-01  0.179E-01  0.186E+00  0.216E+01  0.342E-02     145
      71.22086  0.118E+00 -0.627E-03  0.228E+01 -0.705E-02  0.330E-03  0.134E-01  0.179E-01  0.188E+00  0.217E+01  0.351E-02     146
      71.29878  0.116E+00 -0.670E-03  0.229E+01 -0.710E-02  0.330E-03  0.135E-01  0.179E-01  0.195E+00  0.219E+01  0.364E-02     147
      71.39895  0.119E+00 -0.707E-03  0.230E+01 -0.717E-02  0.330E-03  0.136E-01  0.179E-01  0.211E+00  0.221E+01  0.381E-02     148
      71.51916  0.128E+00 -0.764E-03  0.232E+01 -0.726E-02  0.330E-03  0.140E-01  0.179E-01  0.239E+00  0.224E+01  0.402E-02     149
      71.67944  0.137E+00 -0.852E-03  0.234E+01 -0.740E-02  0.330E-03  0.147E-01  0.179E-01  0.270E+00  0.228E+01  0.432E-02     150
      71.83972  0.141E+00 -0.889E-03  0.236E+01 -0.754E-02  0.330E-03  0.159E-01  0.178E-01  0.274E+00  0.232E+01  0.464E-02     151
      72.00000  0.126E+00 -0.843E-03  0.238E+01 -0.768E-02  0.330E-03  0.174E-01  0.178E-01  0.238E+00  0.236E+01  0.500E-02     152
      72.20000  0.172E+00 -0.718E-03  0.242E+01 -0.782E-02  0.330E-03  0.185E-01  0.178E-01  0.202E+00  0.240E+01  0.550E-02     153
      72.40000  0.223E+00 -0.598E-03  0.246E+01 -0.794E-02  0.330E-03  0.189E-01  0.178E-01  0.197E+00  0.244E+01  0.599E-02     154
      72.70000  0.268E+00 -0.552E-03  0.254E+01 -0.811E-02  0.330E-03  0.188E-01  0.178E-01  0.239E+00  0.251E+01  0.665E-02     155
      73.00000  0.299E+00 -0.642E-03  0.263E+01 -0.830E-02  0.330E-03  0.183E-01  0.178E-01  0.265E+00  0.259E+01  0.722E-02     156
      73.33333  0.301E+00 -0.764E-03  0.273E+01 -0.855E-02  0.330E-03  0.174E-01  0.178E-01  0.204E+00  0.266E+01  0.785E-02     157
      74.00000  0.287E+00 -0.755E-03  0.292E+01 -0.906E-02  0.330E-03  0.162E-01  0.178E-01  0.222E+00  0.281E+01  0.892E-02     158
      74.02000  0.235E+00 -0.849E-03  0.293E+01 -0.907E-02  0.330E-03  0.140E-01  0.178E-01  0.198E+00  0.281E+01  0.894E-02     159
      74.04000  0.167E+00 -0.852E-03  0.293E+01 -0.909E-02  0.330E-03  0.112E-01  0.178E-01  0.194E+00  0.282E+01  0.897E-02     160
      74.06000  0.166E+00 -0.113E-02  0.293E+01 -0.911E-02  0.330E-03  0.111E-01  0.178E-01  0.191E+00  0.282E+01  0.899E-02     161
      74.08000  0.146E+00 -0.139E-02  0.294E+01 -0.914E-02  0.330E-03  0.111E-01  0.178E-01  0.190E+00  0.282E+01  0.902E-02     162
      74.10000  0.140E+00 -0.122E-02  0.294E+01 -0.917E-02  0.330E-03  0.111E-01  0.178E-01  0.188E+00  0.283E+01  0.905E-02     163
      74.12000  0.130E+00 -0.112E-02  0.294E+01 -0.919E-02  0.330E-03  0.112E-01  0.178E-01  0.188E+00  0.283E+01  0.908E-02     164
