 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

   3  -162.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3719E-09
   2  -166.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2443E-09
   1  -170.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1605E-09
end


 Time:      31.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  96     0.00     -77.883 0.3386   0.8725E-01  0.9142E-03 -0.2128E+00  0.0000E+00  -1   0      3.1704  0.000330  0.1236E-01
  95    -1.00     -79.366 0.3373   0.8416E-01  0.8987E-03 -0.2055E+00  0.2310E-02  -1   0      3.6446  0.001770  0.1306E-01
  94    -2.00     -80.763 0.3362   0.8125E-01  0.8841E-03 -0.1907E+00  0.2280E-02  -1   0      4.2945  0.002876  0.1230E-01
  93    -3.00     -82.055 0.3351   0.7855E-01  0.8705E-03 -0.1753E+00  0.2248E-02  -1   0      4.8012  0.003921  0.1163E-01
  92    -4.00     -83.222 0.3341   0.7610E-01  0.8582E-03 -0.1597E+00  0.2050E-02  -1   0      5.2523  0.004837  0.1085E-01
  91    -5.00     -84.246 0.3332   0.7395E-01  0.8474E-03 -0.1441E+00  0.1850E-02  -1   0      5.6657  0.005619  0.1005E-01
  90    -6.00     -85.112 0.3325   0.7213E-01  0.8382E-03 -0.1286E+00  0.1657E-02  -1   0      6.0482  0.006291  0.9252E-02
  89    -7.00     -85.807 0.3319   0.7066E-01  0.8308E-03 -0.1136E+00  0.1470E-02  -1   0      6.3949  0.006874  0.8460E-02
  88    -8.00     -86.322 0.3314   0.6956E-01  0.8253E-03 -0.9924E-01  0.1287E-02  -1   0      6.7020  0.007384  0.7692E-02
  87    -9.00     -86.655 0.3312   0.6884E-01  0.8217E-03 -0.8572E-01  0.1107E-02  -1   0      6.9685  0.007831  0.6955E-02
  86   -10.00     -86.808 0.3310   0.6850E-01  0.8199E-03 -0.7322E-01  0.9295E-03  -1   0      7.1962  0.008225  0.6254E-02
  85   -11.00     -86.789 0.3310   0.6852E-01  0.8200E-03 -0.6187E-01  0.7534E-03  -1   0      7.3881  0.008572  0.5592E-02
  84   -12.00     -86.612 0.3312   0.6888E-01  0.8218E-03 -0.5177E-01  0.5783E-03  -1   0      7.5472  0.008880  0.4970E-02
  83   -13.00     -86.292 0.3315   0.6954E-01  0.8252E-03 -0.4296E-01  0.4036E-03  -1   0      7.6761  0.009154  0.4389E-02
  82   -14.00     -85.847 0.3318   0.7046E-01  0.8298E-03 -0.3543E-01  0.2289E-03  -1   0      7.7774  0.009401  0.3847E-02
  81   -15.00     -85.297 0.3323   0.7161E-01  0.8356E-03 -0.2916E-01  0.5385E-04  -1   0      7.8537  0.009624  0.3345E-02
  80   -16.00     -84.662 0.3328   0.7294E-01  0.8422E-03 -0.2402E-01  0.0000E+00  -1   0      7.9074  0.009827  0.2962E-02
  79   -17.00     -83.956 0.3334   0.7441E-01  0.8497E-03 -0.1985E-01  0.0000E+00  -1   0      7.9410  0.010013  0.2651E-02
  78   -18.00     -83.195 0.3341   0.7601E-01  0.8577E-03 -0.1652E-01  0.0000E+00  -1   0      7.9570  0.010184  0.2370E-02
  77   -19.00     -82.391 0.3348   0.7770E-01  0.8662E-03 -0.1397E-01  0.0000E+00  -1   0      7.9575  0.010341  0.2118E-02
