 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
         6.230        .000   .6330   20.000   .894E+01          .000   .6330   20.000   .785E+01          .000   .6330   20.000   .667E+01          .000   .6330   20.000   .565E+01          .000   .6330   20.000   .501E+01
         6.360        .000   .6330   20.000   .896E+01          .000   .6330   20.000   .789E+01          .000   .6330   20.000   .673E+01          .000   .6330   20.000   .572E+01          .000   .6330   20.000   .508E+01
         6.490        .000   .6330   20.000   .899E+01          .000   .6330   20.000   .794E+01          .000   .6330   20.000   .679E+01          .000   .6330   20.000   .578E+01          .000   .6330   20.000   .515E+01
         6.707        .000   .6330   20.000   .902E+01          .000   .6330   20.000   .801E+01          .000   .6330   20.000   .689E+01          .000   .6330   20.000   .590E+01          .000   .6330   20.000   .527E+01
         6.925        .000   .6330   20.000   .906E+01          .000   .6330   20.000   .807E+01          .000   .6330   20.000   .698E+01          .000   .6330   20.000   .600E+01          .000   .6330   20.000   .539E+01
         7.142        .000   .6330   20.000   .909E+01          .000   .6330   20.000   .814E+01          .000   .6330   20.000   .707E+01          .000   .6330   20.000   .611E+01          .000   .6330   20.000   .550E+01
         7.360        .000   .6330   20.000   .912E+01          .000   .6330   20.000   .820E+01          .000   .6330   20.000   .716E+01          .000   .6330   20.000   .621E+01          .000   .6330   20.000   .561E+01
         7.595        .000   .6330   20.000   .915E+01          .000   .6330   20.000   .826E+01          .000   .6330   20.000   .725E+01          .000   .6330   20.000   .632E+01          .000   .6330   20.000   .572E+01
         7.830        .000   .6330   20.000   .918E+01          .000   .6330   20.000   .832E+01          .000   .6330   20.000   .733E+01          .000   .6330   20.000   .642E+01          .000   .6330   20.000   .584E+01
         8.065        .000   .6330   20.000   .921E+01          .000   .6330   20.000   .838E+01          .000   .6330   20.000   .741E+01          .000   .6330   20.000   .652E+01          .000   .6330   20.000   .594E+01
         8.300        .000   .6330   20.000   .924E+01          .000   .6330   20.000   .843E+01          .000   .6330   20.000   .749E+01          .000   .6330   20.000   .662E+01          .000   .6330   20.000   .605E+01
         8.548        .000   .6330   20.000   .927E+01          .000   .6330   20.000   .849E+01          .000   .6330   20.000   .757E+01          .000   .6330   20.000   .672E+01          .000   .6330   20.000   .616E+01
         8.796        .000   .6330   20.000   .929E+01          .000   .6330   20.000   .854E+01          .000   .6330   20.000   .765E+01          .000   .6330   20.000   .681E+01          .000   .6330   20.000   .626E+01
         9.044        .000   .6330   20.000   .932E+01          .000   .6330   20.000   .859E+01          .000   .6330   20.000   .773E+01          .000   .6330   20.000   .691E+01          .000   .6330   20.000   .637E+01
         9.292        .000   .6330   20.000   .934E+01          .000   .6330   20.000   .864E+01          .000   .6330   20.000   .780E+01          .000   .6330   20.000   .700E+01          .000   .6330   20.000   .647E+01
         9.540        .000   .6330   20.000   .937E+01          .000   .6330   20.000   .868E+01          .000   .6330   20.000   .787E+01          .000   .6330   20.000   .708E+01          .000   .6330   20.000   .656E+01
         9.695        .000   .6330   20.000   .938E+01          .000   .6330   20.000   .871E+01          .000   .6330   20.000   .791E+01          .000   .6330   20.000   .714E+01          .000   .6330   20.000   .662E+01
         9.850        .000   .6330   20.000   .939E+01          .000   .6330   20.000   .874E+01          .000   .6330   20.000   .795E+01          .000   .6330   20.000   .719E+01          .000   .6330   20.000   .668E+01
        10.000        .000   .6330   20.000   .941E+01          .000   .6330   20.000   .876E+01          .000   .6330   20.000   .799E+01          .000   .6330   20.000   .724E+01          .000   .6330   20.000   .673E+01
        10.200        .000   .6330   20.000   .942E+01          .000   .6330   20.000   .880E+01          .000   .6330   20.000   .804E+01          .000   .6330   20.000   .730E+01          .000   .6330   20.000   .681E+01
        10.350        .000   .6330   20.000   .944E+01          .000   .6330   20.000   .882E+01          .000   .6330   20.000   .808E+01          .000   .6330   20.000   .735E+01          .000   .6330   20.000   .686E+01
        10.500        .000   .6330   20.000   .945E+01          .000   .6330   20.000   .884E+01          .000   .6330   20.000   .811E+01          .000   .6330   20.000   .739E+01          .000   .6330   20.000   .691E+01
        10.650        .000   .6330   20.000   .946E+01          .000   .6330   20.000   .887E+01          .000   .6330   20.000   .815E+01          .000   .6330   20.000   .744E+01          .000   .6330   20.000   .696E+01
        10.800        .000   .6330   20.000   .947E+01          .000   .6330   20.000   .889E+01          .000   .6330   20.000   .818E+01          .000   .6330   20.000   .748E+01          .000   .6330   20.000   .701E+01
        10.950        .000   .6330   20.000   .948E+01          .000   .6330   20.000   .891E+01          .000   .6330   20.000   .822E+01          .000   .6330   20.000   .753E+01          .000   .6330   20.000   .706E+01
        11.100        .000   .6330   20.000   .949E+01          .000   .6330   20.000   .893E+01          .000   .6330   20.000   .825E+01          .000   .6330   20.000   .757E+01          .000   .6330   20.000   .711E+01
        11.388        .000   .6330   20.000   .951E+01          .000   .6330   20.000   .897E+01          .000   .6330   20.000   .831E+01          .000   .6330   20.000   .765E+01          .000   .6330   20.000   .720E+01
        11.677        .000   .6330   20.000   .953E+01          .000   .6330   20.000   .901E+01          .000   .6330   20.000   .837E+01          .000   .6330   20.000   .773E+01          .000   .6330   20.000   .729E+01
        11.839        .000   .6330   20.000   .954E+01          .000   .6330   20.000   .903E+01          .000   .6330   20.000   .840E+01          .000   .6330   20.000   .777E+01          .000   .6330   20.000   .733E+01
        12.000        .000   .6330   20.000   .955E+01          .000   .6330   20.000   .905E+01          .000   .6330   20.000   .843E+01          .000   .6330   20.000   .781E+01          .000   .6330   20.000   .738E+01
        12.297        .000   .6330   20.000   .957E+01          .000   .6330   20.000   .909E+01          .000   .6330   20.000   .849E+01          .000   .6330   20.000   .788E+01          .000   .6330   20.000   .747E+01
        12.595        .000   .6330   20.000   .958E+01          .000   .6330   20.000   .912E+01          .000   .6330   20.000   .854E+01          .000   .6330   20.000   .795E+01          .000   .6330   20.000   .755E+01
        12.798        .000   .6330   20.000   .959E+01          .000   .6330   20.000   .914E+01          .000   .6330   20.000   .858E+01          .000   .6330   20.000   .800E+01          .000   .6330   20.000   .760E+01
        13.000        .000   .6330   20.000   .960E+01          .000   .6330   20.000   .917E+01          .000   .6330   20.000   .861E+01          .000   .6330   20.000   .804E+01          .000   .6330   20.000   .765E+01
        13.306        .000   .6330   20.000   .962E+01          .000   .6330   20.000   .920E+01          .000   .6330   20.000   .866E+01          .000   .6330   20.000   .811E+01          .000   .6330   20.000   .773E+01
