        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
         101	        -100	          95	     9.50857	     9.06837	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          96	     9.50857	     9.07307	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          97	     9.50857	     9.07784	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          98	     9.50857	     9.08286	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.9821e-016	
         101	        -100	          99	     9.50857	     9.08878	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	         100	     9.50857	      9.0943	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	         101	     9.50857	     9.09986	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         102	     9.50857	     9.10423	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         103	     9.50857	      9.1088	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         104	     9.50857	     9.11306	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         105	     9.50857	     9.11664	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	         106	     9.50857	     9.11964	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	         107	     9.50857	     9.12343	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         108	     9.50857	      9.1275	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         109	     9.50857	     9.13084	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.2533e-016	
         101	        -100	         110	     9.50857	     9.13513	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         111	     9.50857	     9.14081	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         112	     9.50857	     9.14374	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         113	     9.50857	     9.14487	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         114	     9.50857	     9.14552	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         115	     9.50857	     9.14628	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         116	     9.50857	     9.14604	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         117	     9.50857	     9.14533	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         118	     9.50857	     9.14504	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         119	     9.50857	     9.14365	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         120	     9.50857	     9.14173	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         121	     9.50857	     9.13953	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         122	     9.50857	     9.13736	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.5244e-016	
         101	        -100	         123	     9.50857	     9.13606	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         124	     9.50857	     9.13315	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         125	     9.50857	     9.12966	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         126	     9.50857	     9.12444	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         127	     9.50857	     9.11925	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         128	     9.50857	     9.11441	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         129	     9.50857	     9.11151	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         130	     9.50857	     9.10948	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         131	     9.50857	     9.10758	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         132	     9.50857	     9.10629	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         133	     9.50857	     9.10483	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         134	     9.50857	     9.10369	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         135	     9.50857	     9.10319	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         136	     9.50857	     9.10203	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         137	     9.50857	     9.10103	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         138	     9.50857	     9.10001	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         139	     9.50857	     9.09899	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         140	     9.50857	     9.09795	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 3.7955e-016	
         101	        -100	         141	     9.50857	     9.09725	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         142	     9.50857	     9.09672	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         143	     9.50857	     9.09601	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         144	     9.50857	     9.09547	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         145	     9.50857	     9.09528	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         146	     9.50857	     9.09509	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         147	     9.50857	     9.09437	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         148	     9.50857	     9.09383	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         149	     9.50857	     9.09365	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
         101	        -100	         150	     9.50857	     9.09401	 2.8979e-003	 1.0000e-003	 9.3087e-006	 9.4350e-003	 0.0000e+000	 1.4909e-002	 4.0666e-016	
