 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
   .9895   -.292E+01   .4646E+00   .7061E-02   .7285E+00  -.1376E+00     .9895
   .9835   -.368E+01   .5657E+00   .8748E-02   .6654E+00  -.1769E+00     .9835
   .9741   -.464E+01   .6667E+00   .1073E-01   .5912E+00  -.2283E+00     .9741
   .9597   -.586E+01   .7677E+00   .1294E-01   .5064E+00  -.2955E+00     .9597
   .9380   -.739E+01   .8687E+00   .1525E-01   .4135E+00  -.3836E+00     .9380
   .9063   -.933E+01   .9697E+00   .1736E-01   .3174E+00  -.4984E+00     .9063
   .8619   -.118E+02   .1071E+01   .1884E-01   .2255E+00  -.6468E+00     .8619
   .8029   -.148E+02   .1172E+01   .1921E-01   .1462E+00  -.8352E+00     .8029
   .7298   -.187E+02   .1273E+01   .1821E-01   .8546E-01  -.1068E+01     .7298
   .6458   -.236E+02   .1374E+01   .1592E-01   .4495E-01  -.1347E+01     .6458
   .5568   -.298E+02   .1475E+01   .1288E-01   .2140E-01  -.1670E+01     .5568
   .4691   -.376E+02   .1576E+01   .9718E-02   .9356E-02  -.2029E+01     .4691
   .3880   -.475E+02   .1677E+01   .6938E-02   .3823E-02  -.2418E+01     .3880
   .3165   -.599E+02   .1778E+01   .4750E-02   .1486E-02  -.2828E+01     .3165
   .2556   -.756E+02   .1879E+01   .3158E-02   .5579E-03  -.3253E+01     .2556
   .2051   -.955E+02   .1980E+01   .2058E-02   .2045E-03  -.3689E+01     .2051
   .1638   -.120E+03   .2081E+01   .1323E-02   .7383E-04  -.4132E+01     .1638
   .1305   -.152E+03   .2182E+01   .8437E-03   .2638E-04  -.4579E+01     .1305
   .1037   -.192E+03   .2283E+01   .5350E-03   .9368E-05  -.5028E+01     .1037
   .0824   -.242E+03   .2384E+01   .3380E-03   .3312E-05  -.5480E+01     .0824
   .0654   -.305E+03   .2485E+01   .2131E-03   .1168E-05  -.5932E+01     .0654
   .0518   -.385E+03   .2586E+01   .1341E-03   .4113E-06  -.6386E+01     .0518
   .0411   -.486E+03   .2687E+01   .8437E-04   .1447E-06  -.6840E+01     .0411
   .0326   -.614E+03   .2788E+01   .5304E-04   .5085E-07  -.7294E+01     .0326
   .0258   -.774E+03   .2889E+01   .3333E-04   .1787E-07  -.7748E+01     .0258
   .0205   -.977E+03   .2990E+01   .2094E-04   .6276E-08  -.8202E+01     .0205
