

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   334.62500   .126378E+00   .000000E+00  -.290384E+00   .000000E+00  -.753933E-03   -219.997       .000  -1085.535     160
   334.66699   .134368E+00   .000000E+00  -.282581E+00   .000000E+00  -.758500E-03   -252.398       .000  -1085.095     161
   334.70801   .138671E+00   .000000E+00  -.278351E+00   .000000E+00  -.762987E-03   -274.968       .000  -1084.522     162
   334.75000   .142001E+00   .000000E+00  -.275057E+00   .000000E+00  -.767605E-03   -294.685       .000  -1083.860     163
   334.79199   .145312E+00   .000000E+00  -.271769E+00   .000000E+00  -.772256E-03   -313.743       .000  -1083.204     164
   334.83301   .148197E+00   .000000E+00  -.268901E+00   .000000E+00  -.776823E-03   -331.761       .000  -1082.647     165
   334.87500   .150643E+00   .000000E+00  -.266467E+00   .000000E+00  -.781528E-03   -346.449       .000  -1082.215     166
   334.91699   .152680E+00   .000000E+00  -.264440E+00   .000000E+00  -.786248E-03   -358.203       .000  -1081.951     167
   334.95801   .154761E+00   .000000E+00  -.262367E+00   .000000E+00  -.790862E-03   -371.692       .000  -1081.856     168
   335.00000   .156323E+00   .000000E+00  -.260810E+00   .000000E+00  -.795590E-03   -378.245       .000  -1081.913     169
   335.04199   .157491E+00   .000000E+00  -.259642E+00   .000000E+00  -.800304E-03   -384.174       .000  -1082.109     170
   335.08301   .158790E+00   .000000E+00  -.258344E+00   .000000E+00  -.804901E-03   -393.363       .000  -1082.414     171
   335.12500   .160369E+00   .000000E+00  -.256768E+00   .000000E+00  -.809588E-03   -405.491       .000  -1082.824     172
   335.16699   .162038E+00   .000000E+00  -.255101E+00   .000000E+00  -.814251E-03   -418.192       .000  -1083.305     173
   335.20801   .163625E+00   .000000E+00  -.253517E+00   .000000E+00  -.818782E-03   -428.852       .000  -1083.824     174
   335.25000   .164731E+00   .000000E+00  -.252413E+00   .000000E+00  -.823394E-03   -432.659       .000  -1084.393     175
   335.29199   .166131E+00   .000000E+00  -.251014E+00   .000000E+00  -.827978E-03   -444.766       .000  -1084.988     176
