 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:43:53
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]
       1.0118  0.00000E+00  0.00000E+00 -0.19038E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.24937E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.13879E+01  0.24937E+00  0.00000E+00     53  0.00000E+00      0.000
       1.0824  0.00000E+00  0.00000E+00 -0.18026E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.26209E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14007E+01  0.26209E+00  0.00000E+00     54  0.00000E+00      0.000
       1.1529  0.00000E+00  0.00000E+00 -0.17044E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.27411E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14127E+01  0.27411E+00  0.00000E+00     55  0.00000E+00      0.000
       1.2235  0.00000E+00  0.00000E+00 -0.16140E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.28550E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14241E+01  0.28550E+00  0.00000E+00     56  0.00000E+00      0.000
       1.2941  0.00000E+00  0.00000E+00 -0.15523E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.29646E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14350E+01  0.29646E+00  0.00000E+00     57  0.00000E+00      0.000
       1.3646  0.00000E+00  0.00000E+00 -0.14893E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.30696E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14455E+01  0.30696E+00  0.00000E+00     58  0.00000E+00      0.000
       1.4352  0.00000E+00  0.00000E+00 -0.14397E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.31712E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14557E+01  0.31712E+00  0.00000E+00     59  0.00000E+00      0.000
       1.5058  0.00000E+00  0.00000E+00 -0.14084E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.32706E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14656E+01  0.32706E+00  0.00000E+00     60  0.00000E+00      0.000
       1.5763  0.00000E+00  0.00000E+00 -0.13827E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.33682E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14754E+01  0.33682E+00  0.00000E+00     61  0.00000E+00      0.000
       1.6469  0.00000E+00  0.00000E+00 -0.13584E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.34640E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14850E+01  0.34640E+00  0.00000E+00     62  0.00000E+00      0.000
       1.7174  0.00000E+00  0.00000E+00 -0.13321E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.35580E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.14944E+01  0.35580E+00  0.00000E+00     63  0.00000E+00      0.000
       1.7880  0.00000E+00  0.00000E+00 -0.13096E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.36504E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15036E+01  0.36504E+00  0.00000E+00     64  0.00000E+00      0.000
       1.8797  0.00000E+00  0.00000E+00 -0.12874E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37685E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15154E+01  0.37685E+00  0.00000E+00     65  0.00000E+00      0.000
       1.9715  0.00000E+00  0.00000E+00 -0.12653E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.38846E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15270E+01  0.38846E+00  0.00000E+00     66  0.00000E+00      0.000
       2.0632  0.00000E+00  0.00000E+00 -0.12426E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.39986E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15384E+01  0.39986E+00  0.00000E+00     67  0.00000E+00      0.000
       2.1549  0.00000E+00  0.00000E+00 -0.12203E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.41105E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15496E+01  0.41105E+00  0.00000E+00     68  0.00000E+00      0.000
       2.2467  0.00000E+00  0.00000E+00 -0.11977E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.42204E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15606E+01  0.42204E+00  0.00000E+00     69  0.00000E+00      0.000
       2.3384  0.00000E+00  0.00000E+00 -0.11754E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.43282E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15714E+01  0.43282E+00  0.00000E+00     70  0.00000E+00      0.000
       2.4301  0.00000E+00  0.00000E+00 -0.11536E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.44341E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15820E+01  0.44341E+00  0.00000E+00     71  0.00000E+00      0.000
       2.5219  0.00000E+00  0.00000E+00 -0.11278E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.45375E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.15923E+01  0.45375E+00  0.00000E+00     72  0.00000E+00      0.000
       2.6411  0.00000E+00  0.00000E+00 -0.10941E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.46680E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.16054E+01  0.46680E+00  0.00000E+00     73  0.00000E+00      0.000
       2.7962  0.00000E+00  0.00000E+00 -0.10589E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.48322E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -0.37552E+02  0.00000E+00  0.00000E+00  0.16218E+01  0.48322E+00  0.00000E+00     74  0.00000E+00      0.000
